TOTAIS DE VENDAS POR DIA
Dia             Total  Média/Dia
01/01/2015   27419.05     596.07
02/01/2015   45715.15     932.96
03/01/2015   43218.22     939.53
05/01/2015   23518.13     691.71
06/01/2015   48705.75    1106.95
07/01/2015   23060.19     658.86
08/01/2015   29755.13     646.85
09/01/2015   22346.29     519.68
10/01/2015   24235.63     605.89
12/01/2015   36516.80     936.33
13/01/2015   37165.22     978.03
14/01/2015   47330.68    1100.71
15/01/2015   22490.23     607.84
16/01/2015   31643.30     771.79
17/01/2015   42607.04     926.24
19/01/2015   20660.38     688.68
20/01/2015   36117.45     902.94
21/01/2015   20874.26     613.95
22/01/2015   12745.18     398.29
23/01/2015   20190.76     545.70
24/01/2015   28166.35     612.31
26/01/2015   39744.74     828.02
27/01/2015   33768.21     912.65
28/01/2015   49773.86    1106.09
29/01/2015   17846.04     524.88
30/01/2015   16533.40     423.93
31/01/2015   19403.63     606.36
02/02/2015   34935.57     895.78
03/02/2015   29596.59     870.49
04/02/2015   48777.50    1037.82
05/02/2015   42094.78    1002.26
06/02/2015   16264.26     542.14
07/02/2015   28744.94     638.78
09/02/2015   48071.58    1144.56
10/02/2015   35175.85     837.52
11/02/2015   23784.85     699.55
12/02/2015   27778.84     603.89
13/02/2015   30580.33     849.45
14/02/2015   27004.78     729.86
16/02/2015   56875.86    1723.51
17/02/2015   33190.19     691.46
18/02/2015   24516.39     766.14
19/02/2015   35396.00     737.42
20/02/2015   22235.42     741.18
21/02/2015   52143.61    1185.08
23/02/2015   16849.66     410.97
24/02/2015   25774.28     781.04
25/02/2015   25756.44     757.54
26/02/2015   29280.61     732.02
27/02/2015   37112.27     789.62
28/02/2015   17069.15     533.41
02/03/2015   30872.26     643.17
03/03/2015   27203.37     715.88
04/03/2015   20314.71     564.30
05/03/2015   41917.67    1164.38
06/03/2015   29240.73     731.02
07/03/2015   25344.00     844.80
09/03/2015   49394.98    1097.67
10/03/2015   30415.66     950.49
11/03/2015   28115.51     611.21
12/03/2015   35960.45    1057.66
13/03/2015   32033.15     711.85
14/03/2015   15923.04     442.31
16/03/2015   23233.31     627.93
17/03/2015   26606.90     739.08
18/03/2015   18127.48     477.04
19/03/2015   26328.57     731.35
20/03/2015   21765.54     588.26
21/03/2015   50049.28    1021.41
23/03/2015   33141.43     920.60
24/03/2015   26618.99     782.91
25/03/2015   28323.05     674.36
26/03/2015   25637.50     582.67
27/03/2015   37177.41     844.94
28/03/2015   20068.46     647.37
30/03/2015   33662.47     909.80
31/03/2015   42762.95     971.89
01/04/2015   28180.38     670.96
02/04/2015   24391.83     739.15
03/04/2015   26700.79     762.88
04/04/2015   18497.75     616.59
06/04/2015   15590.30     487.20
07/04/2015   21556.31     634.01
08/04/2015   28629.19     753.40
09/04/2015   24945.32     623.63
10/04/2015   26766.20     581.87
11/04/2015   37878.74     901.87
13/04/2015   14457.17     481.91
14/04/2015   37965.35    1116.63
15/04/2015   25583.63     825.28
16/04/2015   31216.59     780.41
17/04/2015   34270.02     878.72
18/04/2015   30089.94     640.21
20/04/2015   23618.66     621.54
21/04/2015   28666.88     895.84
22/04/2015   27959.08     582.48
23/04/2015   20682.68     626.75
24/04/2015   29149.53     832.84
25/04/2015   34310.53     714.80
27/04/2015   27487.59     808.46
28/04/2015   24975.52     542.95
29/04/2015   16877.71     544.44
30/04/2015   27413.32     721.40
01/05/2015   14669.20     458.41
02/05/2015   23359.96     614.74
04/05/2015   17120.71     535.02
05/05/2015   22080.63     649.43
06/05/2015   40318.48     937.64
07/05/2015   20741.03     432.10
08/05/2015   22927.43     636.87
09/05/2015   40346.11    1061.74
11/05/2015   29624.77     705.35
12/05/2015   22445.23     701.41
13/05/2015   40959.69     999.02
14/05/2015   22599.94     627.78
15/05/2015   41984.71     999.64
16/05/2015   52610.45    1073.68
18/05/2015   20029.32     417.28
19/05/2015   32477.03     955.21
20/05/2015   22233.09     600.89
21/05/2015   28493.02     919.13
22/05/2015   26065.06     592.39
23/05/2015   34960.87     944.89
25/05/2015   43321.16    1056.61
26/05/2015   36694.59    1146.71
27/05/2015   36357.45     790.38
28/05/2015   23435.14     571.59
29/05/2015   19672.77     491.82
30/05/2015   20949.47     581.93
01/06/2015   30518.37     953.70
02/06/2015   17860.19     470.01
03/06/2015   23839.69     644.32
04/06/2015   36542.12     870.05
05/06/2015   26599.27     806.04
06/06/2015   32637.04    1087.90
08/06/2015   27414.74     685.37
09/06/2015   23760.03     792.00
10/06/2015   24401.47     642.14
11/06/2015   21431.90     564.00
12/06/2015   24631.44     631.58
13/06/2015   18670.55     466.76
15/06/2015   42349.65     941.10
16/06/2015   38559.84     786.94
17/06/2015   28534.85     815.28
18/06/2015   31801.99     859.51
19/06/2015   14464.89     482.16
20/06/2015   31181.86    1039.40
22/06/2015   32736.49     962.84
23/06/2015   18303.55     457.59
24/06/2015   28351.74     859.14
25/06/2015   32367.33     703.64
26/06/2015   31317.60     666.33
27/06/2015   34406.97     929.92
29/06/2015   40400.44     961.92
30/06/2015   38411.88     893.30
01/07/2015   21742.34     472.66
02/07/2015   17189.98     505.59
03/07/2015   31657.75     989.30
04/07/2015   18330.39     539.13
06/07/2015   15649.71     521.66
07/07/2015   43077.29    1050.67
08/07/2015   28963.73     629.65
09/07/2015   42260.38    1030.74
10/07/2015   26467.95     630.19
11/07/2015   35828.36     968.33
13/07/2015   20018.42     588.78
14/07/2015   24252.95     692.94
15/07/2015   19752.61     658.42
16/07/2015   27275.28     737.17
17/07/2015   29979.76     731.21
18/07/2015   63820.25    1302.45
20/07/2015   30779.01     769.48
21/07/2015   34284.37     879.09
22/07/2015   36962.83     840.06
23/07/2015   15305.61     463.81
24/07/2015   21054.88     679.19
25/07/2015   42600.26     926.09
27/07/2015   28150.13     879.69
28/07/2015   19575.33     515.14
29/07/2015   41726.21     927.25
30/07/2015   27797.18     631.75
31/07/2015   33629.31     989.10
01/08/2015   26494.13     854.65
03/08/2015   44172.30     920.26
04/08/2015   21254.08     708.47
05/08/2015   56128.68    1220.19
06/08/2015   33818.48     824.84
07/08/2015   19267.03     535.20
08/08/2015   28818.33     613.16
10/08/2015   20166.72     420.14
11/08/2015   59929.58    1302.82
12/08/2015   43727.83     971.73
13/08/2015   36157.38     803.50
14/08/2015   17989.52     499.71
15/08/2015   13448.26     395.54
17/08/2015   37036.55     788.01
18/08/2015   33789.53     938.60
19/08/2015   32642.40     680.05
20/08/2015   33836.47     825.28
21/08/2015   24024.43     572.01
22/08/2015   26061.47     840.69
24/08/2015   27105.57     713.30
25/08/2015   29757.39     743.93
26/08/2015   32857.49    1026.80
27/08/2015   29311.57     610.66
28/08/2015   25741.12     559.59
29/08/2015   14433.51     465.60
31/08/2015   32948.90     823.72
01/09/2015   16109.10     473.80
02/09/2015   28788.95     899.65
03/09/2015   29923.75     695.90
04/09/2015   19348.88     569.08
05/09/2015   19454.26     572.18
07/09/2015   23748.07     742.13
08/09/2015   22256.30     529.91
09/09/2015   21823.18     589.82
10/09/2015   30573.66     955.43
11/09/2015   22366.85     588.60
12/09/2015   37150.48     844.33
14/09/2015   19042.28     614.27
15/09/2015   23236.92     528.11
16/09/2015   24856.53     637.35
17/09/2015   28814.83     800.41
18/09/2015   20601.52     515.04
19/09/2015   14029.61     400.85
21/09/2015   25360.50     634.01
22/09/2015   31223.17     892.09
23/09/2015   35014.56     833.68
24/09/2015   45455.04    1033.07
25/09/2015   34377.09     954.92
26/09/2015   27383.99     595.30
28/09/2015   29327.39     946.04
29/09/2015   44531.96    1012.09
30/09/2015   13160.91     438.70
01/10/2015   34933.98     873.35
02/10/2015   35257.55     734.53
03/10/2015   17499.05     397.71
05/10/2015   21905.26     592.03
06/10/2015   39324.95     914.53
07/10/2015   24999.12     675.65
08/10/2015   56083.89    1335.33
09/10/2015   33792.98     768.02
10/10/2015   20588.05     571.89
12/10/2015   30437.29     845.48
13/10/2015   25738.71     659.97
14/10/2015   37224.91     954.48
15/10/2015   39812.08     829.42
16/10/2015   20848.04     694.93
17/10/2015   23710.37     483.89
19/10/2015   36651.88     872.66
20/10/2015   25858.75     738.82
21/10/2015   26358.17     658.95
22/10/2015   43254.80    1055.00
23/10/2015   36110.38     902.76
24/10/2015   29126.65     939.57
26/10/2015   18748.07     568.12
27/10/2015   24594.44     585.58
28/10/2015   28003.55     736.94
29/10/2015   31696.47     773.08
30/10/2015   21896.57     456.18
31/10/2015   39594.59     965.72
02/11/2015   32452.46     927.21
03/11/2015   29976.26     681.28
04/11/2015   19056.50     577.47
05/11/2015   19162.26     532.28
06/11/2015   29699.86     958.06
07/11/2015   35165.13     799.21
09/11/2015   20966.07     698.87
10/11/2015   30948.38     910.25
11/11/2015   27502.19     639.59
12/11/2015   32928.75     765.78
13/11/2015   30437.46     951.17
14/11/2015   29342.31     682.38
16/11/2015   32212.05     700.26
17/11/2015   21800.17     589.19
18/11/2015   18619.73     547.64
19/11/2015   32970.74    1030.34
20/11/2015   20672.81     530.07
21/11/2015   22830.58     736.47
23/11/2015   11861.53     395.38
24/11/2015   36491.77     960.31
25/11/2015   46267.38    1217.56
26/11/2015   24167.29     690.49
27/11/2015   34040.71    1063.77
28/11/2015   32652.95     742.11
30/11/2015   25035.52     782.36
01/12/2015   51867.50    1206.22
02/12/2015   40386.50     877.97
03/12/2015   26089.13     724.70
04/12/2015   42227.47     938.39
05/12/2015   63888.14    1419.74
07/12/2015   44367.94     924.33
08/12/2015   44366.40    1304.89
09/12/2015   25641.89     674.79
10/12/2015   18186.84     433.02
11/12/2015   33904.10    1059.50
12/12/2015   40231.27    1005.78
14/12/2015   44837.35    1067.56
15/12/2015   34951.66    1059.14
16/12/2015   24695.62     574.32
17/12/2015   34830.23     849.52
18/12/2015   11686.60     389.55
19/12/2015   40373.16     877.68
21/12/2015   32882.77     822.07
22/12/2015   20786.00     519.65
23/12/2015   32428.91     982.69
24/12/2015   25564.91     594.53
